en,pt
" 
What would be the advantage of reducing the number of anchor lines for a floating unit of oil production?",Qual seria a vantagem de reduzir o número de cabos de ancoragem para uma unidade flutuante de produção de petróleo?
It is related that in Brazil there is a large hydrocarbon potential in pre-salt area. This area includes only 200 kilometers from southern to northeast regions with at least 5000 meters deep?,"No, in fact this area includes 800 kilometers between the two regions and it has reservoirs that are 3000 meters deep"
Why does Petrobras make an inspection plan for monitoring rigid pipelines (PIDR) and numerical analysis of finite elements (FEA) of submarine pipelines that operate in Brazilian deep waters?,Por que a Petrobrás faz um plano de inspeção de monitoramento de dutos rígidos (PIDR) e análise numérica de elementos infinitos (FEA) de dutos submarinos que operam em águas profundas brasileiras?
What places are interconnected by the gas line?,Quais lugares são interconectados pela linha de gás?
In what year did the Tupi Field begin its commercial activity?,Em que ano o Campo Tupi iniciou sua atividade comercial?  
Why the studied species in the Paranaguá Bay presented so many diferences?,Por que as espécies estudadas na Baía Paranaguá apresentaram tantas diferenças?
What is the difference between the SBMS-500 and SMFPS?,Qual é a diferença entre o SBMS-500 e o SMFPS?
Where are functional estuaries most common?,Onde os estuários funcionais são mais comuns?
What can be used to characterize geologic periods sections on Brazilian continental margin?,O que pode ser usado para caracterizar seções de períodos geológicos na margem continental brasileira?
What is the productive capacity of the Manati field?,"Qual a capacidade produtiva do campo Manati?
"
What was the accident that ocurred in January 2000 in Guanabara Bay?,Qual foi o acidente que ocorreu em janeiro de 2000 na Baia de Guanabara?
" What was an important project developed by Procap?
","Qual foi um importante projeto desenvolvido pelo Procap?
"
How deep can the Seillean from the Jubarte Field reach?,O quão profundo o Seillean do campo de Jubarte consegue chegar?
What are some of the physical and geoacoustic properties of polymetallic crusts?,Quais são algumas das propriedades das crostas polimetálicas?
What criterias can be used to determine the more suitable mangrove areas for the conservation and fishery of Ucides in Brazil?,Quais critérios podem ser usados para determinar as áreas de manguezais mais adequadas para a conservação e pesca de caranguejos-uçás no Brasil?
How can be formulated the problem of optimal location and sizing of offshore platforms for oil exploration?,Como o problema de melhor localização e tamanho de plataformas de exploração de óleo no mar pode ser formulado ?
What impacts can shipyards have on the environment?,Quais impactos os estaleiros podem proporcionar ao meio ambiente?
When did the first phase of the development plan conceived for Albacora field start?,Quando teve início a primeira fase do plano de desenvolvimento concebido para o campo de Albacora?
"Morphologic speaking,  Parnaíba Delta have what types of channels?","Morfologicamente falando,quais são os tipo de canais no Delta do Paranaiba?"
What mathematical model is good for estimating directional wave spectra?,Que modelo matemático é bom para estimar os espectros de onda direcional?
Where will the P-51 platform operate?,Onde a plataforma P-51 operará?
When and where did the first-in-the-world ESP installation occur?,Quando e onde ocorreu a primeira instalação do mundo de uma ESP?
Which company is used to develop a descriptive case study of the offshore oil and gas industry?,Qual empresa é utilizada para desenvolver um estudo de caso descritivo da indústria offshore de óleo e gás?
How is the topology of the Serra do Mar in eastern Brazil?,Como é a topologia da Serra do Mar no leste do Brasil?
What are the advantages of the use of smaller and fastest vessels and simpler equipment?,Quais são as vantagens do uso de embarcações menores e mais rápidas e equipamentos mais simples?
Why is Petrobras the target partner for international oil companies on joint ventures in Brazilian soil?,Por que a Petrobras é o parceiro alvo de petrolíferas internacionais para empreendimentos conjuntos em território brasileiro?
What is the main success story of Petrobras in its offshore activities in Brazil?,Qual o principal caso de sucesso da Petrobras em suas atividades marítimas no Brasil?
How large is the participation of Campos basin in the national oil production?,Qual é a participação da bacia de Campos na produção nacional de petróleo?
What happened to oil production in 2004?,O que aconteceu com a produção de petróleo em 2004?
What caused the changes in paleogeography and coastal paleogeomorphology?,O que ocasionou as mudanças na paleogeografia e paleogeomorfologia costeira?
What is Petrobras' contribution to the loss of quality of image logs with artifacts?,Qual a contribuição da Petrobras para a perda de qualidade de registros de imagens com artefato?
What are the dielectric tools used for by Petrobras?,Para que as ferramentas dielétricos estao sendo utilizado pelo Petrobras?
When was the last discovery made in relation to the Roncador field made by Petrobras?, Quando foi feita a última descoberta em relação ao campo de Roncador feita pela Petrobras?
"what property of rock salt guarantees excellent impermeability to most fluids and gases, even under high pressures?","que propriedade do sal de rocha garante excelente impermeabilidade à maioria dos fluidos e gases, mesmo sob altas pressões?"
 What basins were not explored under the salt layer?,"Quais bacias não foram exploradas sob a camada de sal?
"
Where to find Amphisbaena pretrei?,Onde encontrar Amphisbaena pretrei?
What is the advantage of the subsurface buoy?,Qual é a vantagem da bóia de subsuperfície?
how thick do the layers of rock salts vary?,Qual a espessura das camadas de sais de rocha?
What are the elements that provide an adequate habitat for the Brazilian coastal zone?,Quais são os elementos que provém um habitat adequado para a zona costeira brasileira?
What are the difficulties for the upgrade of the facilities of the Brownfield Projects?,Quais são as dificuldades para o aprimoramento das instalações dos Brownfield Projects?
What advantages can be reached by using a ship shape hull as an alternative logistic HUB instead a common remote terminal?,Que vantagens podem ser obtidas usando um casco em forma de navio como um HUB logístico alternativo em vez de um terminal remoto comum?
Who is the leader country in deepwater E&P technology?,Quem é o país líder em tecnologias de Exploração e Produção de águas profundas?
 What was the goal of Petrobras until 2012 in terms of GNL?,"
Qual era a meta em relação ao GNL da Petrobras até 2012?"
Which side of Serra do Mar is more prone to erosion?,"Qual o lado mais propício à erosão na Serra do Mar? 
"
In which aspect the Santos Basin Pre-salt oil reservoir differs from the others found in Brazil?,Em qual aspecto o reservatório de óleo pre-sal da Bacia de Santos se difere dos  demais encontrados no Brasil?
Where can we find a Kappaphycus alvarezii carrageenan?,Onde podemos encontrar a carragenina Kappaphycus alvarezii ?
How much percent of Brazilian oil and natural gas production is the Campos Basin responsible for?,Por qual percentual da produção brasileira de petróleo e gás natural a Bacia de Campos é responsável?
Why was a detailed business case study performed?,Por que foi realizado um estudo de caso de negócios detalhado?
What are the elements that are necessary in order to make the SCC condition occur?,Quais são os elementos necessários para que ocorra a condição denominada SCC?
How many barrels/day Petrobras wants to produce from the pre-salt region by the year of 2017?,Quantos barris/dia a Petrobras deseja produzir a partir da região do pré-sal até o ano de 2017?
Why have vortex-induced vibrations been studied?,Por que as vibrações induzidas por vórtices têm sido estudadas?
What is the peak production expected to be during the second phase of the development plan for the Albacora field?,Qual é o pico de produção esperado durante a segunda fase do plano de desenvolvimento do Campo de Albacora?
What is used in order to determine the location and capacity of an offshore platform?,O que é usado para determinar a localização e a capacidade de uma plataforma offshore?
Which is the consequence of the characteristic of the high permeability of the pre-salt reservoirs?,Qual a consequência da característica de alta permeabilidade dos reservatórios do pré-sal?
Until when did Petrobras postpone the start of production at Peroa-Cangoa?,Até quando a Petrobrás adiou o início de produção em Peroa-Cangoa?
"When drilling wells, what are considered sensitive formations?","Ao perfurar poços, o que são consideradas formações sensíveis?"
What does the high local hydrodynamics provoke?,O que a alta hidrodinâmica local provoca?
How many URRs are estimated to exist in Brazil's post-salt offshore basins?,Quantos URR são estimados haver nas bacias offshore do pós-sal do Brasil?
What are the characteristics of the construction process of multilateral wells?,Quais as características do processo de construção de poços multilaterais?
What is the contract Acergy did in this fields of exploration?,Qual é o contrato feito pela Acergy nesses campos de exploração?
What are brGDGTs?,O que são brGDGTs?
" What is the main advantage of the crane ship Micoperi 7000, used for construction in Petrobras' Campos basin?","Qual é a principal vantagem do navio-guindaste Micoperi 7000, utilizado para construção na bacia de Campos da Petrobras?"
What is the modeling done in this study?,Qual a modelagem feita nesse estudo?
"In NAF tests, what was the highest average LC50 obtained?",Nos testes do tipo NAF qual foi a maior LC50 média obtida?
What is the Libra project doing on the Brazilian coast?,O que o projeto libra está fazendo na costa brasileira?
Did the provisional Garoupa early production system that Petrobras implemented after the collapse of the production tower at Campo de Garoupa manage to manipulate how many barrels of oil per day until the permanent system was completed?,O sistema provisório de produção antecipada de Garoupa que a Petrobrás implementou após o desabamento da torre de produção no Campo de Garoupa conseguiu manipular quantos barris de óleo por dia de petróleo por dia até que o sistema permanente estivesse concluído?
"The ""Blue Amazon"" corresponds to how much of the Brazilian land area?","A ""Amazônia Azul"" corresponde a quanto da área terrestre do Brasil?"
Into how many units is the Martim Vaz Archipelago divided?,Em quantas unidades está dividido o Arquipélago Martim Vaz?
What factors can influence the fronts?,Que fatores podem influenciar as frentes?
How can we successfully map a natural gas hydrate systems?,Como podemos mapear com sucesso sistemas de hidrato de gás natural?
What is an alternative to the physical oceanographic models to provide faster results on flushing times?,Qual é uma alternativa aos modelos oceanográficos físicos para fornecer resultados mais rápidos sobre os tempos de descarga?
"When the provisional system in Garoupa Field was implemented, what tools did it use?","Quando o sistema provisório foi implementado no Campo de Guarupa, quais ferramentas ele utilizava?"
Where is the Campos Basin located?,Onde está localizada a Bacia de Campos?
What plays an important role for reserves located in deep waters?,O que tem um papel importante em reservas localizadas em águas profundas?
What were the main R&D efforts on wellbore construction hydraulics in challenging scenarios?,Quais foram os principais esforços de P&D na hidráulica de construção de poços em cenários desafiadores?
What was the first time that flexible risers were used?,Qual foi a primeira vez que os risers flexíveis foram usados?
What is the main gain with HUBs close to offshore platforms?,Qual o principal ganho com os HUBs próximos das plataformas offshores?
What does the full-azimuth towed-streamer seismic survey described in the paper intends to do?,O que o levantamento sísmico de cabo rebocado de azimute completo descrito no artigo pretende fazer?
Which substances were analyzed in the Campos Basin?,Quais substâncias foram analisadas na Bacia de Campos?
What was the total amout of heavy oil available at the Roncador field?,Qual era a quantidade total de óleo pesado disponível no campo de Roncador?
How could improvement in drilling efficiency be observed in the reservoir section?,Como pôde ser observada melhoria da eficiência de perfuração na seção do reservatório?
"Which parameters are used for calibration in the numerical model called Dynamism, applied in vessels operated by Petrobras under several environmental conditions? ","Quais parâmetros são utilizados para calibração no modelo numérico denominado Dynamism, aplicado em embarcações operadas pela Petrobras sob diversas condições ambientais?"
What was the main reason for Petrobras to increase the capacity of one of its semi-submersible drilling platforms?,Qual foi o principal motivo para que a Petrobrás aumentasse a capacidade de uma de suas plataformas de perfuração semisubmerssíveis?
How did Petrobras solve the problem of widening cutter blocks in the construction of the Pre-salt Well?,Como a Petrobrás solucionou o problema dos blocos cortadores de alargamento na construção do Poço do Pré-sal?
How are oceanographic and fish capture data manipulated to study the delimitation of favorable areas for fish?,Como os dados oceanográficos e de captura de peixes são manipulados para o estudo da delimitação de áreas favoráveis para peixes?
where are the albian carbonate reservoirs?,onde ficam os reservatórios carbonático albianos?
What influences the mid- to high latitudes of South America?,O que influencia as latitudes médias a altas da América do Sul?
How can oil companies reduce risks on offshore activities?,Como petrolíferas podem reduzir os riscos de atividades feitas no mar?
What is included in the Petrobras fleet renewal program?,o que está incluso no programa de renovação de frota da Petrobrás?
What has great relevance in the formation of the Brazilian southeastern continental margin ?,O que possui grande importância na formação da margem continental sudeste brasileira ?
" Sevan Marine will manage which platform at the John Wood Group unit? 
",A Sevan Marine irá gerenciar qual plataforma da unidade do John Wood Group?
What did the construction of the Rio de Janeiro-Sao Paulo gas line represent for Petrobras?,O que a construção do gasoduto Rio de Janeiro-São Paulo representou para a Petrobras?
What are some artificial lift methods?,Quais são alguns métodos de elevação artificial?
What defines the stratigraphic architecture of channelized depositional systems?,O que define a arquitetura estratigráfica dos sistemas deposicionais canalizados?
Why the temperature was the most important variable for the distribution of the months?,Por que a temperatura foi a variável mais importante para a distribuição dos meses?
Who operates the Papa Terra oil field?,Quem opera o campo de petróleo Papa Terra?
Greater efficacy in removing organic compounds from sediments was observed in what models?,Maior eficácia na remoção de compostos orgânicos de sedimentos foi observada em quais modelos?
What methods are used to calculate torpedo anchor penetration?,Quais os métodos usados para calcular a penetração da âncora torpedo?
The new LulaMexilhao pipeline will integrate with wich other fields?,O gasoduto LulaMexilhao terá integração com quais outros campos?
What are the most prevalent bacterial phyla associated with the mangrove soils in Paranaguá Bay?,Quais são os filos bacterianos mais prevalentes associados aos solos de manguezais da Baía de Paranaguá?
What technique started been used in northeast of Brazil as a solution for sand production during the production of hydrocarbons?,Que técnica começou a ser usada no nordeste do Brasil como solução para a produção de areia durante a produção de hidrocarbonetos?
Which technics enabled an improvement in the deepwater oil field drilling?,Quais técnicas possibilitaram melhorias na perfuração de poços de petróleo em águas profundas?
Where is Mithraculis forceps' natural habitat?,Qual é o habitat natural da espécie Mithracilis forceps?
Where does the SSP30 FPSO offshore platform operates?,Onde a plataforma offshore SSP30 FPSO opera?
In March of 2010 a microchannel GTL demonstration plant was made at the Petrobras facility in Fortaleza. Who was involved?,Em março de 2010 uma planta de demonstração de microcanal GTL foi feita na instalação da Petrobras em Fortaleza. Quem estava envolvido?
Where is the Piranema oilfield located?,Onde fica o campo petrolífero de  Piranema?
How many seasons were affected by dredging?,Quantas estações sofrem influência da dragagem?
Why are the cyanobacterial biofilms lost early?,Por que os biofilmes cianobacterianos são perdidos precocemente?
When did the exclusion of private capital in Brazilian oil operations come to an abrupt end?,Quando a exclusão de capital privado nas operações de petróleo brasileiro chegaram a um fim abrupto?
"It is known that the continental shelf underlying the municipality of Salvador was exposed to underwater conditions during most of the Quartenário period. This scenario is usually the cause of erosive effects, however, there was a condition that allowed this not to happen, what was that condition?","É sabido que a plataforma continental subjacente ao municipio de Salvador foi exposta a condições subaquáticas durante a maior parte do período Quartenário. Esse cenário geralmente é causador de efeitos erosivos, contudo, havia uma condição que possibilitou que isso não ocorresse, qual foi essa condição?"
Why does performing Drill-Stem Tests (DSTs) offshore require safety equipment placed inside the blowout preventer (BOP)?,Por que realizar o Testes de Haste de Perfuração (DSTs) em alto mar requer equipamento de segurança colocado dentro da pilha do preventor de explosão?
how were the LNG terminals designed?,como foram projetados os terminais de LNG?
Earlier and higher oil production from oil fields could be attained by the use of which tool?,A produção maior e mais rápida de petróleo em campos de petróleo poderia ser alcançada com o uso de qual ferramenta?
What kinds of soils were encountered in FNI?,Quais tipos de solos foram encontrados em FNI?
When was the Bed of Ibaté formed?,Quando o Leito de Ibaté se formou?
" What is unveiled by the geological model?
",O que foi revelado pelo modelo geológico?
How this study was able to create a digital model of the reservoir?,Como o estudo foi capaz de criar um modelo digital do reservatório?
Where is Campos basin located?,Aonde a bacia de Campos está localizada?
What are some characteristics that define the Campos Basin?,Quais são algumas características que definem a Bacia de Campos?
Where can we find birth places of C. limbatus,Onde podemos achar locais de nascimento de C. limbatus
Which model and scale were used in the tests on the trailer tank of the IPT (Institute of Technological Research of the State of São Paulo)?,Qual modelo e escala foram utilizados nos testes no tanque de reboque do IPT(Instituto de Pesquisas Tecnológicas do Estado de São Paulo)?
Which methods are a valuable tool for oceanic research and makes use of physico-acoustic attributes of the crusts?,Que métodos são ferramentas valiosas para pesquisa oceânica e faz uso de propriedades físico-acústicas das crostas?
What is the objetive of moonpools usage in offshore technology related to the hull opening in drilling units?,Qual é o objetivo do uso de moonpools em tecnologia offshore em relação à abertura do casco em unidades de perfuração?
Why did the BC10 application require a requalification of motor and barrier fluid circuit components of the 3 MW (megawatt) MudLine Pump (MK1)?,Por que a aplicação BC10 exigiu uma requalificação dos componentes do motor e do circuito de fluido de barreira da Bomba MudLine de 3 MW (megawatt) (MK1)?
How do ships manage to maneuver the connection hoses in the secondary Mooring Berth of Guanabara Bay?,Como os navios fazem para manobrar as mangueiras de conexão no Berço de Ancoragem secundário da Baía de Guanabara?
What are the two best comparsion about the Parnaíba River's changes of the depositional environments in relation to deglacial sea-level?,Quais são as duas melhores comparações sobre as mudanças do Rio Parnaíba sobre os ambientes deposicionais em relação ao level de mar deglacial?
How did the mapping of the Sergipe-Alagoas's shelf happen?,Como ocorreu o mapeamento da plataforma continental de Sergipe-Alagoas?
" What are the diagnoses that appeared in the test results of more than 70% of the sea turtles found in the Microregion of Lagos, Rio de Janeiro?","Quais são os diagnósticos que apareceram no resultado dos testes de mais de 70% das tartarugas marinhas encontradas na Microrregião dos Lagos, Rio de Janeiro?"
What was the increase in Petrobras' production capacity after the FPSO leased from Single Buoy Moorings started operations?,Qual foi o aumento da capacidade de produção da Petrobras depois que o FPSO alugado da Single Buoy Moorings iniciou suas operações?
Which type of terrain is the one present in the northeastern Guanabara bay?,Qual a categoria de terreno presente na baia de Guanabara?
What can affect metal desorption?,O que pode afetar dessorção de metal
Why is the conversion of VLCC in FPSO unit being used by Petrobras for exploitation of oil in deep water?,Por que a conversão do VLCC em unidade FPSO está sendo utilizada pela Petrobras para exploração de petróleo em águas profundas?
What did the BG Group do with the estimates of Reserva Tupis and how did Petrobras react?,O que o BG Group fez com as estimativas da Reservas Tupis e como a Petrobras reagiu?
When were the lacustrine carbonates deposited ?,Quando os carbonatos lacustres foram depositados?
Route 3 will interconnect with which other existing route?,A rota 3 ira se interligar com qual outra rota existente?
Where did the installation of the first Electrical Submersible Pump that works in subsea wells occur?,Onde a instalação da primeira Bomba Elétrica Submersível que funciona em poços submarinos ocorreu?
Where the pre-salt carbonate reservoirs are located?,Onde os reservatórios carbonáticos do pré-sal estão localizados?
What was Petrobras's influence on the utilization of floating production units?,Qual foi a influência da Petrobras na utilização de unidades de produção flutuantes?
What are continental platforms?,O que são plataformas continentais?
What is the objective of the new acquisition and development of technology of PRAVAP (Petrobras' strategic project for reservoir characterization)?,Qual é o objetivo da nova aquisição e desenvolvimento de tecnologia da PRAVAP (Petrobras' strategic project for reservoir characterization)?
What does the study done in the south-eastern Brazilian margin investigates?,O que investiga o estudo feito na margem sudeste brasileira?
What can be related to the greater number of fish and species observed in hot months in the shallow infralittoral of the Paranaguá Bay?,A que pode estar relacionado o maior número de peixes e espécies observados nos meses quentes no infralitoral raso da Baía de Paranaguá?
What is the potential sources of pollution in the Itajaí Harbor?,Quais são as potenciais fontes de poluição no porto de Itajaí?
What are the categories of governance instrument of Marine Extractive Reserves (MERs)?,Quais são as categorias de instrumentos de governança das Reservas Extrativistas Marinhas (MERs)?
What Petrobras is doing to improve oil and gas production?,"O que a Petrobras está fazendo para melhorar a produção de óleo e gás?

"
What were the methods used to compare the performance of oil and gas production units operating in Brazil with one considered ideal?,Quais foram os métodos usados para comparar a produção de óleo e gás operando no Brasil com uma considerada ideal?
How deep are the pre-salt reservoirs?,Qual a profundidade dos reservatórios do pré-sal?
What is Piranema's oil storage capacity?,Qual é a capacidade de armazenamento de óleo da Piranema?
" How three wind turbines, each one with 3 MW of power, could help the Itamaracá Island?","Como três turbinas eólicas, cada uma com 3MW de força, poderiam ajudar a ilha de Itamaracá?"
What measurements were used to improve the quality of the images obtained by the Permanent Reservoir Monitoring system?,Quais medições foram utilizadas para melhorar a qualidade das imagens obtidas pelo sistema de Monitoramento  de Reservatório Permanente?
What may shallow and insufficient soil suport lead to in shores approach areas?,Solo raso e com suporte insuficiente podem levar a que em áreas próximas a costa?
"What are the challenges involved in developing high pressure, high temperature (HP/HT) fields?",Quais são os desafios envolvidos no desenvolvimento de campos de alta pressão e alta temperatura (HP / HT)?
Why should the overburden be thin enough during dip-parallel steps?,Por que a sobrecarga deve ser fina o suficiente durante as etapas de mergulho paralelas?
Whats is the FORMS technique and what does its application in the Cabo Frio region reveal?,O que é a técnica FORMS e o que a aplicação dela na região de Cabo frio revela?
Which things are reconstructed for the last 7.4 cal ka BP?,"Quais coisas são reconstruídas para os últimos 7,4 cal ka BP?"
What is the average groundwater seepage of submarine groundwater discharge at the Todos os Santos Bay?,Qual a média de infiltração de água das descarga submarina de águas subterrâneas na Baia de Todos os Santos?
Why higher concentrations of fish eggs were found on the continental shelf?,Por que concentração mais altas de ovas de peixes foram encontradas na plataforma continental?
What are some of the challenges these coupled models face?,"Quais são alguns dos desafios que estes modelos em pares enfrentam?
"
What are the features extracted from the geophysical profiles interpretation from Águas Rasas Norte Project?,Quais as características extraídas da interpretação dos perfis geofísicos do Projeto Águas Rasas Norte?
Why does Petrobras want to invest in the northeastern Bahia?,Por que a Petrobras quer investir no nordeste Bahia?
In which areas can gas escape from sediments to the sea?,Em que áreas o gás pode escapar dos sedimentos para o oceano?
Where can be found most of the fossils of ostracod species dated from the Neogene?,Onde podem ser encontrados a maioria dos fósseis de espécies de ostracodes datados do Neógeno?
What does this article detail about?,Sobre o que esse artigo detalha?
What is Brazil's largest national power generation company?,Qual a maior companhia de geração de energia brasileira?
What company transports oil from the Bay of Campos?,Qual empresa transporta petróleo da Baía de Campos?
How many and which species were captured for the study in the Paranaguá Bay?,Quantas e quais espécies foram capturadas para o estudo na Baía de Paranaguá?
What is the success rate of the tests from 2014 to 2018?,Qual a taxa de sucesso dos testes de 2014 até 2018?
What is the depth of water in the presalt of the Santos basin reservoirs?,Qual é a profundidade da água no pré-sal dos reservatórios da bacia de Santos?
How can Brazil improve the national MPA planning?,Como o Brasil pode melhorar o planejamento nacional de AMP?
How will installing the InForce Intelligent Well System in the Snorre field help Hydro?,Como a instalação do InForce Intelligent Well System no campo de Snorre ajudará a Hydro?
What Petrobras did after the collapse of the Garoupa Field production tower?,Qual foi a ação da Petrobrás após a queda da torre de produção de Garoupa?
" 

What is the bottleneck for the sustainability challenges of pursuing national industrial policy?",Qual é o gargalo para com os desafios de sustentabilidade  de perseguir a política industrial nacional?
" What is the focus of the development proposed for Libra started with Phase 0, in 2014?","Qual é o foco do desenvolvimento proposto para Libra iniciado na Fase 0, em 2014?"
How does this work support your diagnosis of the potential for the use and improvement of short sea shipping in Brazil?,Como esse trabalho embasa seu diagnóstico sobre o potencial de uso e aprimoramento do transporte marítimo de curta distância no Brasil?
What are the options of offshore carbon dioxide storage that have been studied?,Quais são as opções de armazenamento de dióxido de carbono offshore que foram estudadas?
What makes it difficult to log the brazilian offshore salt seal?,O que torna difícil fazer medições sobre o selo costeiro de sais brasileiro?
" To collect samples to recognize ages, correlations and paleoenvironmental interpretations of the Cretaceous and Paleogenic sections of the Brazilian continental margin, what method can be used?","Para coletar amostras para reconhecer idades, correlações e interpretações paleoambientais dos trechos Cretáceo e Paleogênico da margem continental brasileira, qual método pode ser usado?"
How much oil per day does Petrobras aim to extract from the Garoupa field?,Quanto petróleo a Petrobras pretende extrair do campo de Garoupa por dia?
Which Brazilian zone plays a central role for discussing vulnerability and adaptation strategies to climate change?,Que zona brasileira possuí um papel central para a discussão de vulnerabilidades e estratégias de adaptação ao aquecimento global?
Where are igneous rocks?,Onde há rochas ígneas ?
For what purpose were synthetic seismic data generated?,Para qual finalidade os dados sísmicos sintéticos foram gerados?
What were the results of the four wells that were completed with electronic gauges in the San Antonio and San Alberto fields?,Quais foram os resultados dos quatro poços que foram concluídos com medidores eletrônicos nos campos de San Antonio e San Alberto?
What is the factor that indicates an increase in organic matter and dominance of eutrophic conditions?,qual é o fator que indica um aumento de fornecimento de matéria orgânica e dominância das condições eutróficas?
" What two locations are critical in the metallic layer for the machine learning model, and what is the amount of wave class reduction at its minimum and maximum?","
Quais são os dois locais críticos na camada metálica para o modelo de aprendizado de máquina e qual é a quantidade de redução da classe de onda em seu mínimo e máximo?"
Where can we find coquina successions in Brazil?,"
Onde podemos encontrar sucessões de coquina no Brasil?"
What is a major concern during the well design phase?,Qual é uma grande preocupação durante a fase de projeção de poço?
What are two indicators of possible sites of enhanced submarine groundwater discharge?,Quais são dois indicadores de possíveis locais de alta descarga submarina de águas subterrâneas?
What is present in the ecossystems of the brazilian coastal zone?,O que está presente nos ecossistemas da zona costeira brasileira?
What has been done to prevent loss of production?,O que foi feito para evitar perdas de produção?
" 
What are the pre-salt generating rocks in the Santos basin in Brazil?",Quais são as rochas geradoras de pré-sal na bacia de Santos no Brasil?
What did the Brazilian government intend to promote with the renewal program of the Navy Fleet?,o que o governo brasileiro pretendia promover com o programa de renovação da frota marinha?
"Which challenges the Brazilian engineering and industy has to overcome?

","Quais desafios a engenharia e indústria brasileiras precisam superar?

"
In what month of 2016 is the production of the platform expected to start?,Para que mês de 2016 está previsto o início da produção da plataforma?
What does the acronym PRAVAP mean?,O que significa a sigla PRAVAP?
How was the contamination of sewage in sediments on the intertidal surface of the Guajará Estuary evaluated?,Como foi avaliada a contaminação dos esgotos em sedimentos da superfície intertidal do Estuário do Guajará?
What were the species related to high temperatures?,Quais foram as espécies relacionadas às altas temperaturas?
What was found in the Macacú-Guapimirim River?,O que foi encontrado no rio Macacú-Guapimirim?
What are two kinds of intelligent completion installations besides the all-electric systems?,Quais são os dois tipos de instalações de completação inteligente além dos sistemas totalmente elétricos?
What is the DSI?,O que é o DSI
Who did the first installation of the InForce Intelligent Well System in the Snorre field?,Quem fez a primeira instalação do InForce Intelligent Well System no campo de Snorre?
What has been the method used to measure if the sea level has changed in Rio de Janeiro?,Qual tem sido o método usado para medir se o nível do mar mudou no Rio de Janeiro?
Why was the SAASS acoustic recorder developed?,Por que o gravador acústico SAASS foi desenvolvido?
Where is the Lula Oil Field located?,Onde se localiza o Campo de Petróleo Lula?
What are some of the coastal regions where the model is being applied?,Quais são algumas das regiões costeiras onde o modelo está sendo aplicado?
Does Brazil intend to reduce imports of light oil?,O Brasil pretende diminuir a importação de petróleo leve?
In which state of Brazil is the Barracuda field located?,Em que estado do Brasil está localizado o campo Barracuda?
What is the name of the bay that Barracuda field is located in?,Qual o nome da baía em que o campo Barracuda está localizado?
How many b/d of processed oil the FPSO P-50 will output by august of 2006?,Quantos b/d de petroleo processado o FPSO P-50 produzirá até agosto de 2006?
What would be an alternative used by PETROBRAS and its partners for not venting CO2 produced in the Pre-salt layer to the atmosphere?,Qual seria uma alternativa usada pela PETROBRAS e suas parceiras para não emitir o CO2 produzido na camada do Pré-Sal para a atmosfera?
Which elements had a higher than safe levels of concetration while in their aqueous state on water quality for both Brazil and international parties?,Quais elementos tinham um nível de concentração maior do que o seguro no seu estado aquoso na sua qualidade de água para tanto o Brasil quanto Internacionalmente?
Which data were acquired during the oil spill in Guanabara Bay to monitor the location?,Quais dados foram adquiridos durante o derramamento de óleo na Baía de Guanabara para monitorar a localização?
What was the methodology proposed by the case study in Brazilian wind farms?,Qual foi a metodologia proposta pelo estudo de caso em fazendas de vento brasileiras?
" Related to the new wave on usage of artificial inteligence in engineering problems, what are in Brazilian offshore fields, the leading operating conditions and modes to its design?","Em relação à nova onda de uso de inteligência artificial em problemas de engenharia, quais são no campo offshore brasileiro, as condições operacionais e os modos que são essenciais no seu desenvolvimento?"
In which regions is the Tender-assisted drilling (TAD) commonly used?,Em que regiões a técnica de perfuração Tender-assisted drilling (TAD) é comumente utilizada?
"Taking into account all the growth that will happen with Acergy gaining Petrobras for flexible installation services in deep waters up to 2,000 m off the coast of Brazil, what is the revised target for 2020 of the pre-salt?","Levando em conta todo crescimento que acontecerá com o ganho da Acergy para a Petrobras de serviços flexíveis de instalação em águas profundas até 2.000 m da costa do Brasil, qual a meta revisada para 2020 do pré-sal?"
Which property may have facilitated the migration of pore saline water upwards?,Qual propriedade pode ter facilitado a migração para cima da água salina dos poros?
Why is ULTRA so relevant today for the Brazilian market?,Por que ULTRA é tão relevante hoje para o mercado brasileiro?
The Exclusive Economic Zone of Brazil has an oceanic area of what size?,A Zona Económica Exclusiva do Brasil tem uma área oceânica com qual tamanho?
What was determined through the study of the delimitation of areas favorable to fish fishing?,O que foi determinado por meio do estudo da delimitação de áreas favoráveis à pesca de peixes?
" What is the factor associated with the presence of adaptive morphological alteration in sea turtles found in the Microregion of Lagos, Rio de Janeiro, Brazil? And what generates the presence of this factor?","Qual o fator associado a presença de alteração morfológica adaptativa nas tartarugas marinhas encontradas na Microrregião dos Lagos, Rio de Janeiro, Brasil? E o que gera a presença desse fator?"
"To what purpose was the ""mixed metal oxy hydroxide (MMH-type) system"" used for?","Para que propósito o "" sistema metal-oxidohidróxido"" foi utilizado?"
in which field in the Camaru-Almada basin does Petrobras plan to invest over $ 1.2 billion to develop gas production?,"em qual campo da bacia de Camaru-Almada a Petrobras planeja investir mais de US $ 1,2 bilhão para desenvolver a produção de gás?"
How geologists call shell-mounds located on Brazil's offshore?,Como geólogos chamam colinas de conchas localizadas na costa do Brasil?
What is the crude oil capacity of the terminal that will be built by PDET Offshore SA?,Qual a capacidade de petróleo bruto do terminal que será construído pela PDET Offshore SA?
